Player Name,Team,Region,Win Rate,KDA,Cpm,Gpm,Kill Participation,Most played champ,Main role,Dpm
PePiiNeRO,Giants Gaming,EU,42.1,4.2,9.3,398.7,63.3,"Varus, Ezreal, Kog'Maw",Mid,838.4
Adryh,Giants Gaming,EU,42.1,2.6,7.7,364.2,63.3,"Ezreal, Kalista, Sivir",ADC,569.2
G0DFRED,Giants Gaming,EU,42.1,3.6,0.5,222.8,73.6,"Morgana, Alistar, Thresh",Support,114
Jwaow,Elements,EU,38.9,2.6,6.6,320.4,69.2,"Hecarim, Rumble, Gnar",Top,371.5
Dexter,Elements,EU,38.9,2.9,3.1,279,77,"Rek'Sai, Gragas, Evelynn",Jungle,238
Froggen,Elements,EU,38.9,3.1,9,383.2,70.5,"Vladimir, Varus, Azir",Mid,798.8
Tabzz,Elements,EU,38.9,2.9,8.1,366.1,67.4,"Corki, Sivir, Kalista",ADC,448
Nyph,Elements,EU,50,2,0.8,210.8,64.5,"Thresh, Alistar, Nautilus",Support,81
Cabochard,Gambit Gaming,EU,38.9,2.7,7.9,366.8,68.8,"Hecarim, Fizz, Gragas",Top,440.3
Diamondprox,Gambit Gaming,EU,38.9,1.9,2.9,282.5,59.9,"Gragas, Rek'Sai, Nidalee",Jungle,246.2
Betsy,Gambit Gaming,EU,38.9,2.8,8.1,358.7,67,"Jayce, Azir, Lulu",Mid,634.2
FORG1VEN,Gambit Gaming,EU,43.8,3.2,9.7,403.6,62.4,"Corki, Lucian, Sivir",ADC,563.1
Gosu Pepper,Gambit Gaming,EU,38.9,1.9,0.8,215.6,68,"Alistar, Bard, Taric",Support,120.1
fredy122,SK Gaming,EU,33.3,2.4,6.6,323.5,58.9,"Gnar, Shen, Maokai",Top,375.3
Svenskeren,SK Gaming,EU,33.3,2.5,3.1,289.1,69.9,"Gragas, Ekko, Lee Sin",Jungle,306.2
Fox,SK Gaming,EU,33.3,2.8,7.6,360,67.3,"Jayce, Viktor, Azir",Mid,586.1
CandyPanda,SK Gaming,EU,33.3,3,8.3,379.8,62.3,"Kalista, Corki, Sivir",ADC,525.5
nRated,SK Gaming,EU,33.3,3.3,0.9,231.9,66.2,"Lulu, Alistar, Nautilus",Support,162.7
